68;Загреб;{"name":"Загреб", "country":"Хорватия", "genCountry":"Хорватии", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"3"}
69;Южная Тарава;{"name":"Южная Тарава", "country":"Кирибати", "genCountry":"Кирибати", "continent":"Австралия и Океания", "duplicateName" : "false", "facts":[], "complexity":"5"}
70;Ямусукро;{"name":"Ямусукро", "country":"Кот-дИвуар", "genCountry":"Кот-дИвуара", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
71;Исламабад;{"name":"Исламабад", "country":"Пакистан", "genCountry":"Пакистана", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"4"}
72;Кабул;{"name":"Кабул", "country":"Афганистан", "genCountry":"Афганистана", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"4"}
73;Каир;{"name":"Каир", "country":"Египет", "genCountry":"Египта", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"3"}
74;Кампала;{"name":"Кампала", "country":"Уганда", "genCountry":"Уганды", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
75;Канберра;{"name":"Канберра", "country":"Австралия", "genCountry":"Австралии", "continent":"Австралия и Океания", "duplicateName" : "false", "facts":["В городе Канберра есть весьма необычный отель, где можно пожить бок-о-бок с дикими зверями."], "complexity":"3"}
76;Каракас;{"name":"Каракас", "country":"Венесуэла", "genCountry":"Венесуэлы", "continent":"Южная Америка", "duplicateName" : "false", "facts":[], "complexity":"4"}
77;Кастри;{"name":"Кастри", "country":"Сент-Люсия", "genCountry":"Сент-Люсии", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
78;Катманду;{"name":"Катманду", "country":"Непал", "genCountry":"Непала", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"4"}
79;Кигали;{"name":"Кигали", "country":"Руанда", "genCountry":"Руанды", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
80;Киев;{"name":"Киев", "country":"Украина", "genCountry":"Украины", "continent":"Европа", "duplicateName" : "false", "facts":["Считается, что в Киеве самая глубокая станция метро в мире, которая называется Арсенальная. "], "complexity":"1"}
81;Кингстаун;{"name":"Кингстаун", "country":"Сент-Винсент и Гренадины", "genCountry":"Сент-Винсента и Гренадинов", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
82;Кингстон;{"name":"Кингстон", "country":"Ямайка", "genCountry":"Ямайки", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
83;Киншаса;{"name":"Киншаса", "country":"Демократическая Республика Конго", "genCountry":"Демократической Республики Конго", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
84;Кито;{"name":"Кито", "country":"Эквадор", "genCountry":"Эквадора", "continent":"Южная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
85;Кишинёв;{"name":"Кишинёв", "country":"Молдавия", "genCountry":"Молдавии", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"3"}
86;Конакри;{"name":"Конакри", "country":"Гвинея", "genCountry":"Гвинеи", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
87;Копенгаген;{"name":"Копенгаген", "country":"Дания", "genCountry":"Дании", "continent":"Европа", "duplicateName" : "false", "facts":["В Копенгагене установлен памятник Русалочке."], "complexity":"1"}
88;Куала-Лумпур.Куала Лумпур;{"name":"Куала-Лумпур", "country":"Малайзия", "genCountry":"Малайзии", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"4"}
89;Либревиль;{"name":"Либревиль", "country":"Габон", "genCountry":"Габона", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
90;Лилонгве;{"name":"Лилонгве", "country":"Малави", "genCountry":"Малави", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
91;Лима;{"name":"Лима", "country":"Перу", "genCountry":"Перу", "continent":"Южная Америка", "duplicateName" : "false", "facts":[], "complexity":"4"}
92;Лиссабон;{"name":"Лиссабон", "country":"Португалия", "genCountry":"Португалии", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"2"}
93;Ломе;{"name":"Ломе", "country":"Того", "genCountry":"Того", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
94;Лондон;{"name":"Лондон", "country":"Великобритания", "genCountry":"Великобритании", "continent":"Европа", "duplicateName" : "false", "facts":["Именно в Лондоне открыли первое метро.", "Именно в Лондоне был открыт первый зоопарк."], "complexity":"1"}
95;Луанда;{"name":"Луанда", "country":"Ангола", "genCountry":"Анголы", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
